"Step","bert_appnp_new - train_acc","bert_appnp_new - train_acc__MIN","bert_appnp_new - train_acc__MAX","bert_sgc_new - train_acc","bert_sgc_new - train_acc__MIN","bert_sgc_new - train_acc__MAX","bert_gat_new - train_acc","bert_gat_new - train_acc__MIN","bert_gat_new - train_acc__MAX","bert_gcn_new - train_acc","bert_gcn_new - train_acc__MIN","bert_gcn_new - train_acc__MAX","bert_appnp_orig - train_acc","bert_appnp_orig - train_acc__MIN","bert_appnp_orig - train_acc__MAX","bert_sgc_orig - train_acc","bert_sgc_orig - train_acc__MIN","bert_sgc_orig - train_acc__MAX","bert_gat_orig - train_acc","bert_gat_orig - train_acc__MIN","bert_gat_orig - train_acc__MAX","bert_gcn_orig - train_acc","bert_gcn_orig - train_acc__MIN","bert_gcn_orig - train_acc__MAX"
"0","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.6363636363636364","0.6363636363636364","0.6363636363636364","0.6363636363636364","0.6363636363636364","0.6363636363636364"
"1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.6363636363636364","0.6363636363636364","0.6363636363636364","1","1","1","1","1","1","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.8181818181818182","0.8181818181818182","0.8181818181818182"
"2","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.8181818181818182","0.8181818181818182","0.8181818181818182"
"3","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"4","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.8181818181818182","0.8181818181818182","0.8181818181818182"
"5","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.5454545454545454","0.5454545454545454","0.5454545454545454","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1"
"6","1","1","1","0.45454545454545453","0.45454545454545453","0.45454545454545453","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.2727272727272727","0.2727272727272727","0.2727272727272727","1","1","1","1","1","1"
"7","1","1","1","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","0.45454545454545453","0.45454545454545453","0.45454545454545453","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"8","1","1","1","0.45454545454545453","0.45454545454545453","0.45454545454545453","1","1","1","1","1","1","1","1","1","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1"
"9","1","1","1","0.45454545454545453","0.45454545454545453","0.45454545454545453","1","1","1","1","1","1","1","1","1","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"10","1","1","1","0.36363636363636365","0.36363636363636365","0.36363636363636365","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.6363636363636364","0.6363636363636364","0.6363636363636364","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"11","1","1","1","0.36363636363636365","0.36363636363636365","0.36363636363636365","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.6363636363636364","0.6363636363636364","0.6363636363636364","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"12","1","1","1","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"13","1","1","1","0.45454545454545453","0.45454545454545453","0.45454545454545453","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182"
"14","1","1","1","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1"
"15","1","1","1","0.45454545454545453","0.45454545454545453","0.45454545454545453","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"16","1","1","1","0.45454545454545453","0.45454545454545453","0.45454545454545453","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"17","1","1","1","0.5454545454545454","0.5454545454545454","0.5454545454545454","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"18","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1"
"19","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","1","1","1","0.7272727272727273","0.7272727272727273","0.7272727272727273","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"20","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"21","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"22","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"23","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"24","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","1","1","1"
"25","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","1","1","1"
"26","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","1","1","1","0.6363636363636364","0.6363636363636364","0.6363636363636364"
"27","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"28","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"29","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"30","1","1","1","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","0.7272727272727273","0.7272727272727273","0.7272727272727273","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"31","1","1","1","0.45454545454545453","0.45454545454545453","0.45454545454545453","1","1","1","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","1","1","1"
"32","1","1","1","0.7272727272727273","0.7272727272727273","0.7272727272727273","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1"
"33","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182"
"34","1","1","1","0.18181818181818182","0.18181818181818182","0.18181818181818182","1","1","1","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182"
"35","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","1","1","1","1","1","1"
"36","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"37","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.8181818181818182","0.8181818181818182","0.8181818181818182"
"38","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"39","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"40","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"41","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","1","1","1","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1"
"42","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1"
"43","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"44","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","0.8181818181818182","0.8181818181818182","0.8181818181818182","1","1","1","1","1","1"
"45","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"46","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"47","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"48","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"49","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.9090909090909091","0.9090909090909091","0.9090909090909091"