"Step","roberta_new - train_acc","roberta_new - train_acc__MIN","roberta_new - train_acc__MAX","bert_new - train_acc","bert_new - train_acc__MIN","bert_new - train_acc__MAX","roberta_orig - train_acc","roberta_orig - train_acc__MIN","roberta_orig - train_acc__MAX","bert_orig - train_acc","bert_orig - train_acc__MIN","bert_orig - train_acc__MAX"
"0","0.7123842592592593","0.7123842592592593","0.7123842592592593","0.726378367003367","0.726378367003367","0.726378367003367","0.7084385521885522","0.7084385521885522","0.7084385521885522","0.6771359427609427","0.6771359427609427","0.6771359427609427"
"1","0.9322916666666666","0.9322916666666666","0.9322916666666666","0.9144044612794612","0.9144044612794612","0.9144044612794612","0.8780513468013468","0.8780513468013468","0.8780513468013468","0.8536405723905723","0.8536405723905723","0.8536405723905723"
"2","0.9571759259259259","0.9571759259259259","0.9571759259259259","0.9635416666666666","0.9635416666666666","0.9635416666666666","0.9230324074074074","0.9230324074074074","0.9230324074074074","0.9091435185185185","0.9091435185185185","0.9091435185185185"
"3","0.9745370370370371","0.9745370370370371","0.9745370370370371","0.9809027777777778","0.9809027777777778","0.9809027777777778","0.9322916666666666","0.9322916666666666","0.9322916666666666","0.9514414983164983","0.9514414983164983","0.9514414983164983"
"4","0.9826388888888888","0.9826388888888888","0.9826388888888888","0.9918981481481481","0.9918981481481481","0.9918981481481481","0.9444970538720538","0.9444970538720538","0.9444970538720538","0.9716435185185185","0.9716435185185185","0.9716435185185185"
"5","0.9832175925925926","0.9832175925925926","0.9832175925925926","0.9918981481481481","0.9918981481481481","0.9918981481481481","0.9629629629629629","0.9629629629629629","0.9629629629629629","0.9907407407407407","0.9907407407407407","0.9907407407407407"
"6","0.9930555555555556","0.9930555555555556","0.9930555555555556","0.9976851851851852","0.9976851851851852","0.9976851851851852","0.984375","0.984375","0.984375","0.9936868686868686","0.9936868686868686","0.9936868686868686"
"7","0.9861111111111112","0.9861111111111112","0.9861111111111112","0.9976851851851852","0.9976851851851852","0.9976851851851852","0.9832175925925926","0.9832175925925926","0.9832175925925926","0.9930555555555556","0.9930555555555556","0.9930555555555556"
"8","0.9953703703703703","0.9953703703703703","0.9953703703703703","0.9965277777777778","0.9965277777777778","0.9965277777777778","0.9826388888888888","0.9826388888888888","0.9826388888888888","0.9971064814814815","0.9971064814814815","0.9971064814814815"
"9","0.9884259259259259","0.9884259259259259","0.9884259259259259","0.9930555555555556","0.9930555555555556","0.9930555555555556","0.9896359427609427","0.9896359427609427","0.9896359427609427","0.9809027777777778","0.9809027777777778","0.9809027777777778"
"10","0.9959490740740741","0.9959490740740741","0.9959490740740741","0.9994212962962963","0.9994212962962963","0.9994212962962963","0.9953703703703703","0.9953703703703703","0.9953703703703703","0.9976851851851852","0.9976851851851852","0.9976851851851852"
"11","0.9988425925925926","0.9988425925925926","0.9988425925925926","0.9982638888888888","0.9982638888888888","0.9982638888888888","0.9953703703703703","0.9953703703703703","0.9953703703703703","0.9988425925925926","0.9988425925925926","0.9988425925925926"
"12","0.9953703703703703","0.9953703703703703","0.9953703703703703","0.9982638888888888","0.9982638888888888","0.9982638888888888","0.9907407407407407","0.9907407407407407","0.9907407407407407","0.9988425925925926","0.9988425925925926","0.9988425925925926"
"13","0.9947916666666666","0.9947916666666666","0.9947916666666666","0.9895833333333334","0.9895833333333334","0.9895833333333334","0.9866898148148148","0.9866898148148148","0.9866898148148148","0.9988425925925926","0.9988425925925926","0.9988425925925926"
"14","0.9988425925925926","0.9988425925925926","0.9988425925925926","0.9971064814814815","0.9971064814814815","0.9971064814814815","0.9913720538720538","0.9913720538720538","0.9913720538720538","0.9907933501683501","0.9907933501683501","0.9907933501683501"
"15","0.9965277777777778","0.9965277777777778","0.9965277777777778","0.9976851851851852","0.9976851851851852","0.9976851851851852","0.9878472222222222","0.9878472222222222","0.9878472222222222","0.9918981481481481","0.9918981481481481","0.9918981481481481"
"16","0.9965277777777778","0.9965277777777778","0.9965277777777778","0.9971064814814815","0.9971064814814815","0.9971064814814815","0.9976851851851852","0.9976851851851852","0.9976851851851852","0.9942129629629629","0.9942129629629629","0.9942129629629629"
"17","0.9982638888888888","0.9982638888888888","0.9982638888888888","1","1","1","0.9976851851851852","0.9976851851851852","0.9976851851851852","0.9988425925925926","0.9988425925925926","0.9988425925925926"
"18","0.9947916666666666","0.9947916666666666","0.9947916666666666","0.9994212962962963","0.9994212962962963","0.9994212962962963","0.9965277777777778","0.9965277777777778","0.9965277777777778","1","1","1"
"19","1","1","1","1","1","1","0.9965277777777778","0.9965277777777778","0.9965277777777778","0.9971064814814815","0.9971064814814815","0.9971064814814815"
"20","0.9994212962962963","0.9994212962962963","0.9994212962962963","1","1","1","0.9913194444444444","0.9913194444444444","0.9913194444444444","0.9965277777777778","0.9965277777777778","0.9965277777777778"
"21","0.9982638888888888","0.9982638888888888","0.9982638888888888","1","1","1","0.9930555555555556","0.9930555555555556","0.9930555555555556","0.9994212962962963","0.9994212962962963","0.9994212962962963"
"22","0.9971064814814815","0.9971064814814815","0.9971064814814815","1","1","1","0.9982638888888888","0.9982638888888888","0.9982638888888888","1","1","1"
"23","0.9994212962962963","0.9994212962962963","0.9994212962962963","1","1","1","1","1","1","0.9988425925925926","0.9988425925925926","0.9988425925925926"
"24","0.9982638888888888","0.9982638888888888","0.9982638888888888","1","1","1","1","1","1","1","1","1"
"25","0.9947916666666666","0.9947916666666666","0.9947916666666666","0.9965277777777778","0.9965277777777778","0.9965277777777778","0.9988425925925926","0.9988425925925926","0.9988425925925926","0.9994212962962963","0.9994212962962963","0.9994212962962963"
"26","0.9976851851851852","0.9976851851851852","0.9976851851851852","1","1","1","1","1","1","0.9994212962962963","0.9994212962962963","0.9994212962962963"
"27","0.9982638888888888","0.9982638888888888","0.9982638888888888","1","1","1","1","1","1","1","1","1"
"28","0.9982638888888888","0.9982638888888888","0.9982638888888888","1","1","1","1","1","1","1","1","1"
"29","1","1","1","1","1","1","1","1","1","1","1","1"
"30","1","1","1","1","1","1","1","1","1","1","1","1"
"31","1","1","1","1","1","1","0.9994212962962963","0.9994212962962963","0.9994212962962963","1","1","1"
"32","1","1","1","1","1","1","0.9918981481481481","0.9918981481481481","0.9918981481481481","1","1","1"
"33","1","1","1","1","1","1","0.9930555555555556","0.9930555555555556","0.9930555555555556","0.9936342592592593","0.9936342592592593","0.9936342592592593"
"34","1","1","1","1","1","1","0.9959490740740741","0.9959490740740741","0.9959490740740741","0.9884259259259259","0.9884259259259259","0.9884259259259259"
"35","0.9976851851851852","0.9976851851851852","0.9976851851851852","0.9994212962962963","0.9994212962962963","0.9994212962962963","0.9982638888888888","0.9982638888888888","0.9982638888888888","0.9982638888888888","0.9982638888888888","0.9982638888888888"
"36","0.9976851851851852","0.9976851851851852","0.9976851851851852","0.9918981481481481","0.9918981481481481","0.9918981481481481","0.9976851851851852","0.9976851851851852","0.9976851851851852","0.9971064814814815","0.9971064814814815","0.9971064814814815"
"37","0.9976851851851852","0.9976851851851852","0.9976851851851852","0.9942129629629629","0.9942129629629629","0.9942129629629629","0.9976851851851852","0.9976851851851852","0.9976851851851852","0.9994212962962963","0.9994212962962963","0.9994212962962963"
"38","1","1","1","0.9982638888888888","0.9982638888888888","0.9982638888888888","0.9988425925925926","0.9988425925925926","0.9988425925925926","0.9976851851851852","0.9976851851851852","0.9976851851851852"
"39","0.9982638888888888","0.9982638888888888","0.9982638888888888","1","1","1","0.9994212962962963","0.9994212962962963","0.9994212962962963","0.9971064814814815","0.9971064814814815","0.9971064814814815"
"40","0.9982638888888888","0.9982638888888888","0.9982638888888888","1","1","1","0.9930555555555556","0.9930555555555556","0.9930555555555556","1","1","1"
"41","1","1","1","1","1","1","0.9994212962962963","0.9994212962962963","0.9994212962962963","0.9994212962962963","0.9994212962962963","0.9994212962962963"
"42","0.9947916666666666","0.9947916666666666","0.9947916666666666","1","1","1","1","1","1","1","1","1"
"43","1","1","1","1","1","1","0.9982638888888888","0.9982638888888888","0.9982638888888888","1","1","1"
"44","0.9959490740740741","0.9959490740740741","0.9959490740740741","1","1","1","0.9976851851851852","0.9976851851851852","0.9976851851851852","1","1","1"
"45","0.9976851851851852","0.9976851851851852","0.9976851851851852","0.9994212962962963","0.9994212962962963","0.9994212962962963","0.9918981481481481","0.9918981481481481","0.9918981481481481","1","1","1"
"46","0.9988425925925926","0.9988425925925926","0.9988425925925926","0.9982638888888888","0.9982638888888888","0.9982638888888888","0.9971064814814815","0.9971064814814815","0.9971064814814815","1","1","1"
"47","0.9959490740740741","0.9959490740740741","0.9959490740740741","0.9960016835016835","0.9960016835016835","0.9960016835016835","1","1","1","1","1","1"
"48","0.9994212962962963","0.9994212962962963","0.9994212962962963","0.9988425925925926","0.9988425925925926","0.9988425925925926","1","1","1","1","1","1"
"49","1","1","1","0.9994212962962963","0.9994212962962963","0.9994212962962963","1","1","1","1","1","1"