"Step","roberta_new - train_loss","roberta_new - train_loss__MIN","roberta_new - train_loss__MAX","bert_new - train_loss","bert_new - train_loss__MIN","bert_new - train_loss__MAX","roberta_orig - train_loss","roberta_orig - train_loss__MIN","roberta_orig - train_loss__MAX","bert_orig - train_loss","bert_orig - train_loss__MIN","bert_orig - train_loss__MAX"
"0","0.5235606814148249","0.5235606814148249","0.5235606814148249","0.5363829850598618","0.5363829850598618","0.5363829850598618","0.5446996550869059","0.5446996550869059","0.5446996550869059","0.5886294438883111","0.5886294438883111","0.5886294438883111"
"1","0.19934087122480074","0.19934087122480074","0.19934087122480074","0.20572085464718165","0.20572085464718165","0.20572085464718165","0.2982005111321255","0.2982005111321255","0.2982005111321255","0.34144181316649475","0.34144181316649475","0.34144181316649475"
"2","0.12549203511810414","0.12549203511810414","0.12549203511810414","0.11014013223488021","0.11014013223488021","0.11014013223488021","0.20852222997281286","0.20852222997281286","0.20852222997281286","0.23875580390018444","0.23875580390018444","0.23875580390018444"
"3","0.08229122986948048","0.08229122986948048","0.08229122986948048","0.05651125620567688","0.05651125620567688","0.05651125620567688","0.1746509230385224","0.1746509230385224","0.1746509230385224","0.14787239691725484","0.14787239691725484","0.14787239691725484"
"4","0.06297664536611626","0.06297664536611626","0.06297664536611626","0.02767978303341402","0.02767978303341402","0.02767978303341402","0.1563013818597904","0.1563013818597904","0.1563013818597904","0.08882471815579468","0.08882471815579468","0.08882471815579468"
"5","0.058535909461271435","0.058535909461271435","0.058535909461271435","0.021749416659413663","0.021749416659413663","0.021749416659413663","0.10499951308938088","0.10499951308938088","0.10499951308938088","0.04086307236165912","0.04086307236165912","0.04086307236165912"
"6","0.026462398728148803","0.026462398728148803","0.026462398728148803","0.010663031757791975","0.010663031757791975","0.010663031757791975","0.05373678835005396","0.05373678835005396","0.05373678835005396","0.03143233177252114","0.03143233177252114","0.03143233177252114"
"7","0.039730850637338506","0.039730850637338506","0.039730850637338506","0.010487569494957657","0.010487569494957657","0.010487569494957657","0.04831699824771257","0.04831699824771257","0.04831699824771257","0.022370999144321238","0.022370999144321238","0.022370999144321238"
"8","0.016135611515319732","0.016135611515319732","0.016135611515319732","0.008536851387126025","0.008536851387126025","0.008536851387126025","0.04972920108896991","0.04972920108896991","0.04972920108896991","0.012285761006987068","0.012285761006987068","0.012285761006987068"
"9","0.031642801645729274","0.031642801645729274","0.031642801645729274","0.026546831358077557","0.026546831358077557","0.026546831358077557","0.03597347648960918","0.03597347648960918","0.03597347648960918","0.06540386046334687","0.06540386046334687","0.06540386046334687"
"10","0.014153215096383873","0.014153215096383873","0.014153215096383873","0.005536611223188056","0.005536611223188056","0.005536611223188056","0.020538296181863796","0.020538296181863796","0.020538296181863796","0.010257772540811587","0.010257772540811587","0.010257772540811587"
"11","0.005551732222860058","0.005551732222860058","0.005551732222860058","0.009202673411453833","0.009202673411453833","0.009202673411453833","0.015398188696794764","0.015398188696794764","0.015398188696794764","0.005883387759914277","0.005883387759914277","0.005883387759914277"
"12","0.011774153489602247","0.011774153489602247","0.011774153489602247","0.00576514776427454","0.00576514776427454","0.00576514776427454","0.025577263864559226","0.025577263864559226","0.025577263864559226","0.0055644877084651614","0.0055644877084651614","0.0055644877084651614"
"13","0.01284357647333915","0.01284357647333915","0.01284357647333915","0.02879011124389729","0.02879011124389729","0.02879011124389729","0.03719537447883609","0.03719537447883609","0.03719537447883609","0.005781175784283766","0.005781175784283766","0.005781175784283766"
"14","0.003196911697429001","0.003196911697429001","0.003196911697429001","0.013257029371474075","0.013257029371474075","0.013257029371474075","0.02809112593941218","0.02809112593941218","0.02809112593941218","0.021507965592684707","0.021507965592684707","0.021507965592684707"
"15","0.008931453064616545","0.008931453064616545","0.008931453064616545","0.005999716677858184","0.005999716677858184","0.005999716677858184","0.03286083517337425","0.03286083517337425","0.03286083517337425","0.02454512839904055","0.02454512839904055","0.02454512839904055"
"16","0.01167896877207871","0.01167896877207871","0.01167896877207871","0.006955725508979177","0.006955725508979177","0.006955725508979177","0.007597871450276149","0.007597871450276149","0.007597871450276149","0.01689461281811991","0.01689461281811991","0.01689461281811991"
"17","0.005179187582042586","0.005179187582042586","0.005179187582042586","0.0013911065869723206","0.0013911065869723206","0.0013911065869723206","0.007523018237272346","0.007523018237272346","0.007523018237272346","0.004682428912794286","0.004682428912794286","0.004682428912794286"
"18","0.0172575658243322","0.0172575658243322","0.0172575658243322","0.000993524368958013","0.000993524368958013","0.000993524368958013","0.008557362202770525","0.008557362202770525","0.008557362202770525","0.0020451657603391344","0.0020451657603391344","0.0020451657603391344"
"19","0.0024074362127403555","0.0024074362127403555","0.0024074362127403555","0.0005866671317899427","0.0005866671317899427","0.0005866671317899427","0.009519500643903113","0.009519500643903113","0.009519500643903113","0.014134849233044035","0.014134849233044035","0.014134849233044035"
"20","0.0026952617500447325","0.0026952617500447325","0.0026952617500447325","0.0005441109511863302","0.0005441109511863302","0.0005441109511863302","0.024347398011337243","0.024347398011337243","0.024347398011337243","0.007935417831672734","0.007935417831672734","0.007935417831672734"
"21","0.005556407216284209","0.005556407216284209","0.005556407216284209","0.0007296670903290053","0.0007296670903290053","0.0007296670903290053","0.01564617355998726","0.01564617355998726","0.01564617355998726","0.0037260111502190637","0.0037260111502190637","0.0037260111502190637"
"22","0.009158694003417622","0.009158694003417622","0.009158694003417622","0.000224430022542408","0.000224430022542408","0.000224430022542408","0.004581389014169367","0.004581389014169367","0.004581389014169367","0.0010840205903622081","0.0010840205903622081","0.0010840205903622081"
"23","0.001830088411494486","0.001830088411494486","0.001830088411494486","0.0002120139287634865","0.0002120139287634865","0.0002120139287634865","0.0016360706733259441","0.0016360706733259441","0.0016360706733259441","0.0022295415972756155","0.0022295415972756155","0.0022295415972756155"
"24","0.002900972378955447","0.002900972378955447","0.002900972378955447","0.0007420819642397368","0.0007420819642397368","0.0007420819642397368","0.0010551448471637236","0.0010551448471637236","0.0010551448471637236","0.000607054360713206","0.000607054360713206","0.000607054360713206"
"25","0.014466315524866028","0.014466315524866028","0.014466315524866028","0.010927265978992821","0.010927265978992821","0.010927265978992821","0.0030908116130848175","0.0030908116130848175","0.0030908116130848175","0.0021577926542064503","0.0021577926542064503","0.0021577926542064503"
"26","0.007406499632149159","0.007406499632149159","0.007406499632149159","0.0007274619459133612","0.0007274619459133612","0.0007274619459133612","0.0008681398760893865","0.0008681398760893865","0.0008681398760893865","0.0024129761005935034","0.0024129761005935034","0.0024129761005935034"
"27","0.0036708075652616876","0.0036708075652616876","0.0036708075652616876","0.00039716872588205324","0.00039716872588205324","0.00039716872588205324","0.0008738287775755722","0.0008738287775755722","0.0008738287775755722","0.00046025976175938184","0.00046025976175938184","0.00046025976175938184"
"28","0.0036059091669610804","0.0036059091669610804","0.0036059091669610804","0.00023190696292321836","0.00023190696292321836","0.00023190696292321836","0.0006009313746525786","0.0006009313746525786","0.0006009313746525786","0.0005423902133501273","0.0005423902133501273","0.0005423902133501273"
"29","0.00025373926958612475","0.00025373926958612475","0.00025373926958612475","0.0002572289727309167","0.0002572289727309167","0.0002572289727309167","0.0003662866769850047","0.0003662866769850047","0.0003662866769850047","0.00022348192403485342","0.00022348192403485342","0.00022348192403485342"
"30","0.00030900139494473544","0.00030900139494473544","0.00030900139494473544","0.00019179670434149793","0.00019179670434149793","0.00019179670434149793","0.00026503691791461917","0.00026503691791461917","0.00026503691791461917","0.000333702277539824","0.000333702277539824","0.000333702277539824"
"31","0.0001941675714921008","0.0001941675714921008","0.0001941675714921008","0.00014233343521212832","0.00014233343521212832","0.00014233343521212832","0.0049875075031498755","0.0049875075031498755","0.0049875075031498755","0.00026458994842768233","0.00026458994842768233","0.00026458994842768233"
"32","0.0001898666372721049","0.0001898666372721049","0.0001898666372721049","0.00027363284721946846","0.00027363284721946846","0.00027363284721946846","0.020788575556017114","0.020788575556017114","0.020788575556017114","0.0001430428664106229","0.0001430428664106229","0.0001430428664106229"
"33","0.00023525392228933656","0.00023525392228933656","0.00023525392228933656","0.00013024202329419226","0.00013024202329419226","0.00013024202329419226","0.01612505926729042","0.01612505926729042","0.01612505926729042","0.02291648994381561","0.02291648994381561","0.02291648994381561"
"34","0.00009159609483807192","0.00009159609483807192","0.00009159609483807192","0.00011349839200260316","0.00011349839200260316","0.00011349839200260316","0.017128324353338772","0.017128324353338772","0.017128324353338772","0.031299078070097255","0.031299078070097255","0.031299078070097255"
"35","0.004795219471614271","0.004795219471614271","0.004795219471614271","0.0006585036951070868","0.0006585036951070868","0.0006585036951070868","0.005086181840009953","0.005086181840009953","0.005086181840009953","0.008585228940420266","0.008585228940420266","0.008585228940420266"
"36","0.010888362716152053","0.010888362716152053","0.010888362716152053","0.019472308609894955","0.019472308609894955","0.019472308609894955","0.009322447043679724","0.009322447043679724","0.009322447043679724","0.005989720130283213","0.005989720130283213","0.005989720130283213"
"37","0.008386584295092488","0.008386584295092488","0.008386584295092488","0.01211083944212145","0.01211083944212145","0.01211083944212145","0.005834761117040654","0.005834761117040654","0.005834761117040654","0.0019071187896231466","0.0019071187896231466","0.0019071187896231466"
"38","0.0004906470639980398","0.0004906470639980398","0.0004906470639980398","0.00601052067051771","0.00601052067051771","0.00601052067051771","0.002904068658945444","0.002904068658945444","0.002904068658945444","0.006992409903263992","0.006992409903263992","0.006992409903263992"
"39","0.010542033536626992","0.010542033536626992","0.010542033536626992","0.0009381272742488094","0.0009381272742488094","0.0009381272742488094","0.0010877723441269525","0.0010877723441269525","0.0010877723441269525","0.006987955689611327","0.006987955689611327","0.006987955689611327"
"40","0.0033337790990588946","0.0033337790990588946","0.0033337790990588946","0.00035844875856128056","0.00035844875856128056","0.00035844875856128056","0.021148214991020115","0.021148214991020115","0.021148214991020115","0.0009442772683946209","0.0009442772683946209","0.0009442772683946209"
"41","0.002118338260549569","0.002118338260549569","0.002118338260549569","0.00011026787143674921","0.00011026787143674921","0.00011026787143674921","0.0031179141773868147","0.0031179141773868147","0.0031179141773868147","0.004305338310923953","0.004305338310923953","0.004305338310923953"
"42","0.013447176297631813","0.013447176297631813","0.013447176297631813","0.0001469934479111409","0.0001469934479111409","0.0001469934479111409","0.0004128689762620962","0.0004128689762620962","0.0004128689762620962","0.0003544918655717521","0.0003544918655717521","0.0003544918655717521"
"43","0.0005981401281368798","0.0005981401281368798","0.0005981401281368798","0.00015846853616326202","0.00015846853616326202","0.00015846853616326202","0.0028953398145353682","0.0028953398145353682","0.0028953398145353682","0.00038807193104056987","0.00038807193104056987","0.00038807193104056987"
"44","0.008765696422886793","0.008765696422886793","0.008765696422886793","0.00008235285211547441","0.00008235285211547441","0.00008235285211547441","0.00835152482802557","0.00835152482802557","0.00835152482802557","0.0003484067685214406","0.0003484067685214406","0.0003484067685214406"
"45","0.011665803983137098","0.011665803983137098","0.011665803983137098","0.0011012165087541453","0.0011012165087541453","0.0011012165087541453","0.021461040184442903","0.021461040184442903","0.021461040184442903","0.00020494525880268257","0.00020494525880268257","0.00020494525880268257"
"46","0.0017381397240872805","0.0017381397240872805","0.0017381397240872805","0.006474492896679159","0.006474492896679159","0.006474492896679159","0.005854048490113605","0.005854048490113605","0.005854048490113605","0.00045701945580529154","0.00045701945580529154","0.00045701945580529154"
"47","0.008163152186777248","0.008163152186777248","0.008163152186777248","0.009015959902643334","0.009015959902643334","0.009015959902643334","0.0003822130164297522","0.0003822130164297522","0.0003822130164297522","0.00016666919765595122","0.00016666919765595122","0.00016666919765595122"
"48","0.0017319895334232435","0.0017319895334232435","0.0017319895334232435","0.003441437062873673","0.003441437062873673","0.003441437062873673","0.00022952455017528136","0.00022952455017528136","0.00022952455017528136","0.000161819805388977","0.000161819805388977","0.000161819805388977"
"49","0.00036671004670131005","0.00036671004670131005","0.00036671004670131005","0.0013812681809886945","0.0013812681809886945","0.0013812681809886945","0.00027132108455892495","0.00027132108455892495","0.00027132108455892495","0.00014436073036415986","0.00014436073036415986","0.00014436073036415986"